Sample Names,lung_cocci_S13-15588,lung_cocci_S15-7163,lung_cocci_S16-1593,lung_control_S16-1234,lung_control_S16-430,lung_control_S16-455,lung_sarc_ng07-1929,lung_sarc_ng14-2391,lung_sarc_S01-274,lung_sarc_S08-13633,lung_sarc_S08-8308,lung_sarc_S14-1820,lymph_control_LN2,lymph_control_LN4,lymph_control_LN5,lymph_sarc_S01-01562,lymph_sarc_S03-06811,lymph_sarc_S08-11588-2,lymph_sarc_S10-5712,lymph_sarc_S10-8898,lymph_sarc_S11-16399,lymph_sarc_S11-3356,lymph_sarc_S11-5747,lymph_sarc_S12-10867-2,lymph_sarc_S12-11588,lymph_sarc_S15-2130,lymph_sarc_S16-3789,lymph_TB_S07-1722,lymph_TB_S10-2574,lymph_TB_S11-5890,lymph_TB_S13-12712
GeneName,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM
A2M,13553.4289,10400.49774,2728.095333,16374.17367,11185.69224,17280.47755,913.361504,659.130454,7576.894729,4072.010502,5825.108891,8043.914141,989.368233,743.154565,1440.442046,2088.4945,1328.376218,1619.076051,1728.531401,2589.469131,2321.111481,3226.671299,1832.78584,1664.08363,1969.6911,1994.888201,2068.145618,11127.06187,4330.668281,4511.71577,1200.362843
ABCA2,126.216567,108.570013,173.126704,102.132701,107.961448,73.942593,387.531125,327.798869,303.455861,426.010775,131.853636,87.789861,237.728316,70.808914,140.040744,182.442333,185.359407,114.111435,218.372181,247.794445,152.103674,155.029588,110.379434,130.875363,203.937939,83.106682,167.108623,143.581322,127.790212,96.79465,114.222233
ABCA3,1266.022,1085.875806,423.008647,771.661477,1688.468702,1101.838232,509.947956,181.284116,809.817008,424.881439,462.452013,948.303394,149.105086,81.173557,123.641024,159.872147,128.371249,150.227512,113.89829,86.779608,150.596764,114.751265,52.9409,72.218788,98.456072,101.137717,128.755824,1382.011108,722.97521,98.86144,84.98727
ABCA4,8.233781,16.338206,137.223609,28.577448,15.469103,9.45342,354.788899,306.974437,75.412931,244.94051,76.330973,19.882387,113.375853,16.467189,45.822746,110.970079,94.848803,147.538017,108.581962,41.069953,122.342212,73.214244,37.855086,36.617977,50.035053,62.616869,47.899491,108.748951,46.689365,49.861301,63.246341
ABCA5,119.858838,151.787202,152.790615,99.950679,90.961548,122.239274,292.114414,318.223349,143.12821,194.496819,129.417541,89.422714,179.235511,219.304215,143.015203,168.524052,195.613332,306.218228,158.925973,150.274786,137.693852,150.099689,103.070778,111.210153,109.46948,89.171667,214.842085,98.773484,65.147951,124.524079,133.657306
ABCA9,117.565886,151.787202,138.483367,83.339158,131.72908,163.516088,213.924023,260.212432,86.358029,114.690382,206.66205,83.179453,131.056298,105.19628,87.545562,146.047909,154.104656,275.481141,194.770909,112.469809,129.500032,102.793637,112.347148,128.16292,67.694483,84.254111,128.257736,119.705613,84.942905,79.054706,120.975097
ABCB11,4.273228,2.195995,3.149394,0.915041,0.161136,3.182339,624.790092,50.666586,28.024263,39.401291,3.451134,1.344702,20.848191,4.940157,28.377946,13.165942,6.310107,11.910621,22.473566,22.425225,7.911275,20.76851,1.499211,12.205992,13.007215,2.704655,53.959565,8.013081,3.173875,17.739945,0.41176
ABCB4,46.901284,161.010383,239.803881,39.628333,72.914261,23.773948,381.422501,628.544569,168.626681,195.124228,125.357383,99.507983,220.784556,335.736929,146.472006,299.337085,315.603969,377.681955,217.163925,178.027077,222.174964,183.035609,100.821961,205.128483,78.138233,136.134318,155.320534,126.901032,58.549633,110.401016,164.456956
ABCB5,26.577394,76.50848,189.233607,34.138084,48.260379,16.005295,659.120561,507.96739,91.169062,42.287373,99.778386,81.162399,141.44356,55.988444,45.822746,161.094699,183.387498,320.818344,156.187259,103.791848,105.483662,121.56921,52.847199,99.682271,61.143404,68.435976,81.188392,97.301693,47.441072,79.140822,143.127787
